А418ВА21,Пивоваров Г. Е.,1,42
К332НЕ21,Смирнитский Л. К.,14,45
М154РА21,Климушин С. К.,20,40
Т862РО21,Асланов Н. М.,19,97
О528ВВ21,Косарёв Ч. Г.,4,63
В624СС21,Ефимов Л. Ш.,11,99
Е721АО21,Чиграков П. П.,16,16
А901ТР21,Крутин Ч. Ч.,7,81
Х966ЕН21,Сигаев З. Ш.,9,92
О282МХ21,Караулин М. К.,19,36
Р574ММ21,Борзилов А. В.,24,86
Х282КВ21,Бореев Ш. Ш.,15,78
К899АУ21,Косарёв Л. У.,16,66
С214ОС21,Колесников К. В.,5,96
О488ХХ21,Чукчов Ч. Б.,2,26
Р848УН21,Дубов Г. Х.,14,65
Е969ТТ21,Бурый Ч. О.,2,21
В384ЕТ21,Капица Н. Ш.,7,90
С879КС21,Голованов Ф. А.,6,28
Х766НО21,Мурогов Р. Ц.,10,21
Н943ЕХ21,Анишин О. Ч.,20,29
Х546ОЕ21,Коновалов Р. У.,22,13
У391ОС21,Чиграков А. Д.,19,22
Т827СМ21,Артамонов Х. Ш.,2,92
Т339ОК21,Дубов Ч. К.,8,15
Н730УС21,Колесников Р. С.,5,77
Р438КУ21,Сопов Д. М.,16,96
К116РР21,Артамонов Р. З.,20,56
С355ЕР21,Худяков Б. В.,10,75
Н526ВА21,Смирнитский И. Ф.,18,1
С832ВЕ21,Дёмин Д. Е.,13,1
О539КУ21,Тредиаковский Ш. Й.,20,6
С330СР21,Чукчов Р. П.,15,63
Н953КС21,Ковалёв Л. Л.,17,45
Т732КМ21,Пивоваров Ш. А.,23,39
М439РМ21,Фомин У. Д.,17,5
Х882ТР21,Пивоваров М. Й.,24,50
С341ЕН21,Худяков И. П.,8,85
Е578КТ21,Парамонов Л. Г.,20,16
Е235СР21,Чиграков Ф. Й.,15,90
В537ВС21,Колесников О. Ж.,4,67
О434ММ21,Фомин К. Й.,18,64
У472ХВ21,Папанов А. Е.,5,79
С501УХ21,Бореев Й. Г.,21,30
С572ОЕ21,Парамонов И. Ч.,14,49
О214РЕ21,Мамыкин З. Б.,14,86
О431ВА21,Добрынин Е. З.,12,77
О114МС21,Ефимов К. М.,4,92
В358УХ21,Капица С. К.,4,81
Н711ЕТ21,Голованов З. П.,7,51
К402АО21,Краевcкий Н. К.,8,39
К530НМ21,Александров Д. С.,21,46
Х435РС21,Тредиаковский С. И.,11,74
Р163ЕН21,Чукчов В. И.,22,87
О804КВ21,Фомин Ц. Л.,12,7
К818ЕА21,Чукчов О. Х.,21,36
У339КЕ21,Бореев Ц. К.,7,92
К900СН21,Чукчов Т. Й.,20,18
У682СХ21,Энговатов О. Ж.,10,3
С402КС21,Сагадеев С. Ч.,22,43
Н962ТО21,Худяков И. Е.,10,99
В043ВУ21,Сигаев С. С.,22,20
М195ОН21,Добрынин Х. И.,6,43
В976СН21,Пивоваров Б. В.,9,31
О416ОО21,Климушин Ш. Ж.,13,65
М461КС21,Закрятин Ч. Х.,3,6
У523МР21,Колесников Г. О.,16,38
У594МХ21,Дубов Ф. К.,16,94
У820СА21,Мамыкин Ц. Т.,23,11
У907ТС21,Борзилов С. Ф.,4,39
Т176МХ21,Голованов Х. Ф.,15,17
Т411ЕА21,Климушин Х. Л.,13,42
У226КК21,Тредиаковский Ж. Ф.,20,90
С660ХА21,Пивоваров Н. Н.,12,9
Н782ВМ21,Закрятин Р. Р.,3,12
У165ВК21,Климушин Ш. В.,5,4
Т009СО21,Энговатов Н. К.,11,94
Т788МР21,Мамыкин М. Х.,17,41
М270СУ21,Климушин Й. Т.,14,77
А871ЕО21,Худяков Ц. А.,24,21
О746СН21,Александров П. П.,19,29
О270ВТ21,Бореев Т. Ж.,3,63
К539ЕН21,Ефимов Н. Т.,15,73
Н575НМ21,Смирнитский Ф. А.,19,76
Е509УВ21,Дубов Г. Ц.,7,84
Х352ВР21,Капица Р. Б.,14,30
Е602ВР21,Капица Ф. Б.,4,75
Р267ЕЕ21,Чиграков Е. Ч.,8,69
У607РО21,Алексеев В. Ш.,24,75
К179ВО21,Голованов И. Е.,13,84
Н230НЕ21,Караулин Х. З.,24,85
О257ЕР21,Закрятин Н. К.,18,58
Р653ХК21,Дубов Х. И.,17,81
М985ОТ21,Закрятин Х. Е.,16,53
К549ЕН21,Чукчов У. Й.,1,84
Н727СК21,Бурый Ж. К.,8,92
